"","UserID","ProblemID","overalGradeDiff","countOfSubmissions","totalTime","totalVideoTime","countOfVideoEvents","countOfForumEvents","countOfThreadViews","VideoPerSubmission","ForumPerSubmission","VideoTimePerSubmission","ThreadViewPerSubmission"
"48","01dac251a1e587be181cec40a2d75bc6",5,11.1111111111111,7,1944,0,0,0,0,0,0,0,0
"49","01dac251a1e587be181cec40a2d75bc6",7,100,6,2958,0,0,0,0,0,0,0,0
"50","01dac251a1e587be181cec40a2d75bc6",9,20,10,76603,0,1,0,0,0.1,0,0,0
"51","01dac251a1e587be181cec40a2d75bc6",11,24.4444444444444,7,2699,0,0,0,0,0,0,0,0
"52","01dac251a1e587be181cec40a2d75bc6",14,26.6666666666667,9,74604,0,0,0,0,0,0,0,0
"53","01dac251a1e587be181cec40a2d75bc6",15,50,35,669272,0,0,27,12,0,0.771428571428571,0,0.342857142857143
"54","01f02e6c984034950fb7cd55c59307aa",0,5.55550257364908,2,106,0,0,0,0,0,0,0,0
"55","01f02e6c984034950fb7cd55c59307aa",1,12.5,2,272,0,0,0,0,0,0,0,0
"56","01f02e6c984034950fb7cd55c59307aa",2,100,5,830,0,0,0,0,0,0,0,0
"57","01f02e6c984034950fb7cd55c59307aa",3,12.5,3,525,0,0,0,0,0,0,0,0
"58","01f02e6c984034950fb7cd55c59307aa",4,50,5,1399,0,0,1,0,0,0.2,0,0
"59","01f02e6c984034950fb7cd55c59307aa",5,11.1111111111111,2,208,0,0,0,0,0,0,0,0
"60","01f02e6c984034950fb7cd55c59307aa",6,12.5,2,301,0,0,0,0,0,0,0,0
"61","01f02e6c984034950fb7cd55c59307aa",7,100,9,1412,0,0,0,0,0,0,0,0
"62","01f02e6c984034950fb7cd55c59307aa",8,100,11,52760,0,0,9,4,0,0.818181818181818,0,0.363636363636364
"63","01f02e6c984034950fb7cd55c59307aa",9,27.5,6,1725,0,0,0,0,0,0,0,0
"64","01f02e6c984034950fb7cd55c59307aa",10,19.9999968210856,3,1202,0,0,0,0,0,0,0,0
"65","01f02e6c984034950fb7cd55c59307aa",11,22.2222222222222,4,343,0,0,0,0,0,0,0,0
"66","01f02e6c984034950fb7cd55c59307aa",12,62.5,3,643,0,0,0,0,0,0,0,0
"67","01f02e6c984034950fb7cd55c59307aa",13,50,4,1461,0,0,2,1,0,0.5,0,0.25
"68","01f02e6c984034950fb7cd55c59307aa",14,60,7,1123,0,0,0,0,0,0,0,0
"69","01f02e6c984034950fb7cd55c59307aa",15,50,8,6368,0,0,6,6,0,0.75,0,0.75
"70","01f5770ed4ea9cb3d2eed5483170a227",2,75,5,1158,0,0,0,0,0,0,0,0
"71","0210c44e655cfbd9ee1722761081e8b0",1,100,6,906,0,0,0,0,0,0,0,0
"72","0210c44e655cfbd9ee1722761081e8b0",2,5,4,2267,0,0,0,0,0,0,0,0
"73","0210c44e655cfbd9ee1722761081e8b0",4,100,7,9976,0,0,0,0,0,0,0,0
"74","0210c44e655cfbd9ee1722761081e8b0",7,2.85714285714286,4,873,0,0,0,0,0,0,0,0
"75","0210c44e655cfbd9ee1722761081e8b0",9,17.5,3,475,0,0,0,0,0,0,0,0
"76","0210c44e655cfbd9ee1722761081e8b0",11,51.1111111111111,7,2955,0,0,0,0,0,0,0,0
"77","0210c44e655cfbd9ee1722761081e8b0",14,0,7,15977,0,0,0,0,0,0,0,0
"78","0210c44e655cfbd9ee1722761081e8b0",15,20,5,1378,0,0,0,0,0,0,0,0
"79","021f93612abdbd1337489b1668f19ad9",2,0,9,75279,0,0,0,0,0,0,0,0
"80","0254acdabaa2da15580a699ffadc1797",0,16.6666666666667,10,260797,0,0,0,0,0,0,0,0
"81","0254acdabaa2da15580a699ffadc1797",1,27.5,3,630,0,0,0,0,0,0,0,0
"82","0254acdabaa2da15580a699ffadc1797",2,100,7,1025,0,0,0,0,0,0,0,0
"83","0254acdabaa2da15580a699ffadc1797",5,0,9,73206,0,0,0,0,0,0,0,0
"84","034a58807553a3a5a742987370350bae",0,-5.5556615193685,3,2584901,2159417,21,3,0,7,1,719805.666666667,0
"85","034a58807553a3a5a742987370350bae",1,22.5,3,431,0,0,0,0,0,0,0,0
"86","034a58807553a3a5a742987370350bae",2,25,2,163,0,0,0,0,0,0,0,0
"87","034a58807553a3a5a742987370350bae",3,0,3,1553557,1383936,13,3,0,4.33333333333333,1,461312,0
"88","034a58807553a3a5a742987370350bae",4,25,3,563,0,0,0,0,0,0,0,0
"89","034a58807553a3a5a742987370350bae",5,11.1111111111111,2,298,0,0,0,0,0,0,0,0
"90","034a58807553a3a5a742987370350bae",7,14.2857142857143,2,208,0,0,0,0,0,0,0,0
"91","034a58807553a3a5a742987370350bae",8,37.5,3,131,0,0,0,0,0,0,0,0
