ProblemID,UserID,SubmissionNumber,TimeStamp,TimeSinceLast,Grade,GradeDiff,NVideoEvents,NForumEvents,NVideoAndForumEvents,DurationOfVideoActivity,NoOfVidoesWatched,NumberOfThreadViews,AverageVideoTimeDiffs
0,67b31325660be932fab1b1af1eddafc6,0,1392978845,,66.66666666666666,,,,,,,,
0,5b32d46f935589e9518ebf35103d25a1,0,1394992883,,100.0,,,,,,,,
0,d488b936db4019eebb541375aefcf8e2,0,1393252254,,100.0,,,,,,,,
0,dc3de627b719e8e3491d0d6d8b19356b,0,1393513510,,94.44449742635092,,,,,,,,
0,41dce14eea3c94de39daeaba61698739,0,1394049763,,83.33333333333334,,,,,,,,
0,41dce14eea3c94de39daeaba61698739,1,1394050373,610,50.0,-33.33333333333334,0,0,0,,,,
0,41dce14eea3c94de39daeaba61698739,2,1394050575,202,83.33333333333334,33.33333333333334,0,0,0,,,,
0,41dce14eea3c94de39daeaba61698739,3,1394050756,181,100.0,16.666666666666657,0,0,0,,,,
0,cfebfe0ef91f9fce48bf2bf5a69e5c2d,0,1393519491,,100.0,,,,,,,,
0,8c5422a91c4cb2d4c2674a6a68be7d49,0,1394095158,,83.33333333333334,,,,,,,,
0,42971ce989c13cdbb4b93a7f9a5b8890,0,1393068794,,100.0,,,,,,,,
0,6c34bc08fad249f340a048cbb3490ca1,0,1393252857,,61.11116806666056,,,,,,,,
0,d38f16c1f236728fb09c3b809528b417,0,1394729861,,83.33333333333334,,,,,,,,
0,d38f16c1f236728fb09c3b809528b417,1,1394729989,128,100.0,16.666666666666657,0,0,0,,,,
0,7e16f88bbf1ea145147cd2ba8d8ce403,0,1393681276,,100.0,,,,,,,,
0,ab331a8c8412a8c69baf3bbe367875c9,0,1392991094,,94.44449742635092,,,,,,,,
0,879b37469bcec606e3dbadc640bcd09f,0,1392986635,,88.88883590698242,,,,,,,,
0,4803df202264c15f6f801bfc42c35256,0,1393376779,,38.88883193333943,,,,,,,,
0,4803df202264c15f6f801bfc42c35256,1,1393376995,216,66.66666666666666,27.777834733327225,0,0,0,,,,
0,4803df202264c15f6f801bfc42c35256,2,1393377116,121,77.77783075968424,11.111164093017578,0,0,0,,,,
0,4803df202264c15f6f801bfc42c35256,3,1393377317,201,50.0,-27.777830759684235,0,0,0,,,,
0,8e5312ff38b8a7917560fc1c5c3c4f86,0,1395741195,,83.33333333333334,,,,,,,,
0,0a821709936aaabc9ee44749029bef19,0,1393971346,,83.33333333333334,,,,,,,,
0,a99f73ae7c24c8a91ce34a7e1beaf727,0,1397055834,,83.33333333333334,,,,,,,,
0,4fdc0dc1c1437a63e1660bfeeffc22d4,0,1394898146,,50.0,,,,,,,,
0,54ac2d5b681ecab8856c5c3c5a021720,0,1393863295,,100.0,,,,,,,,
0,aa02dd9ac8bfca7dc8e9c0e331feb9c2,0,1393859562,,100.0,,,,,,,,
0,cd5eb4179790845e0e75516f72098f07,0,1394368453,,83.33333333333334,,,,,,,,
0,3aa7039af24c53e7c8ebfd7b00ec0d06,0,1393017698,,100.0,,,,,,,,
